# ==============================================================================
# Title        : idsl_skin_tone_sample.csv
# Description  : Skin Tone Sample Values
# Author       : SAIC IDSL
# Reference    : https://doi.org/10.1145/3730409
# Repository   : https://github.com/TheMdTF/mdtf-public
# License      : https://github.com/TheMdTF/mdtf-public/blob/master/LICENSE.md
# ==============================================================================
"l","a","b"
38.73803326,15.56194871,19.09774118
23.48423452,6.223953687,15.48119495
41.89840949,16.56421648,16.84601053
38.81458363,14.2054789,20.9798879
53.49465264,14.42957066,18.34660368
46.07142906,14.89217271,22.60833021
38.2453214,13.89156182,17.74735819
58.28962572,18.51000775,9.119512823
32.68752349,13.41982573,25.39475808
43.34599697,15.51343755,21.2436745
58.28377998,17.96816792,14.88051257
58.31534144,12.37569892,11.90164806
46.79265006,14.95378655,17.09800912
62.95469581,7.702549079,11.68685959
60.61287348,11.81987939,16.92796534
36.45487817,15.01554089,18.37173971
45.00716867,15.46205753,22.93254064
25.896557,10.22898379,15.6578657
50.08162848,19.39845275,18.92253812
49.37470757,17.00135739,17.25862207
37.98319405,14.49328827,17.40042695
27.81723294,7.328989248,15.62504569
31.80127103,10.95808993,13.62027359
45.83256726,12.45359396,22.78788219
57.07269356,18.67780249,5.578573424
55.72475973,15.82856585,13.43717699
57.39488369,15.21394343,8.304197531
57.89107334,15.12320618,13.66154502
41.16598181,15.00608873,23.00915385
53.62385003,21.08710251,13.45090642
51.75207898,19.64899737,18.94491312
31.34093477,12.4165787,14.29035725
56.49309314,19.05028966,9.395245542
53.66737779,21.59360881,9.405445581
45.58977645,13.14500619,21.88862593
51.78263709,22.81408801,14.95903455
50.75123777,22.2925224,11.66776017
35.22219631,12.37267004,14.70047169
47.58798452,16.16355954,20.03597806
38.86779212,16.00538041,19.29204652
59.4787729,9.016988771,14.08294056
57.14540077,13.95314498,11.39072777
57.68551092,15.95621668,12.22737921
27.42848325,7.940728624,10.56015233
41.20930352,21.10564469,19.06394524
52.70663092,16.22271908,14.93199517
44.65727375,12.68043333,22.36082157
33.17030028,15.52487567,18.1996046
56.37792604,16.62769453,15.56313797
47.22519397,19.54160004,15.45436722
37.55832564,14.15641561,22.28878027
61.38493591,12.34912991,11.21228398
52.99749055,20.56384584,10.1661783
44.21147999,12.71561002,19.96819665
36.07040797,14.91709237,22.1238128
35.60628728,17.80970528,20.38013961
33.84641938,14.56137342,23.37515159
52.92879577,15.21321116,19.31229119
58.09502989,12.65843198,16.19661755
53.86407074,12.95381815,16.50468929
48.8138017,17.80389166,18.2618853
37.70518939,14.70559014,21.90415156
47.97679065,14.84554526,16.98901881
49.58257744,21.02895295,11.719253
27.93477594,11.50802922,10.72655125
40.8704679,14.4322998,15.93910135
48.74208255,22.1197875,13.51843685
58.78305145,10.96724001,13.6980663
53.34107606,20.02955987,14.18801201
59.33033746,14.75204943,12.86100958
37.15661665,17.45211091,18.19219711
52.33345864,17.57534544,17.36714772
55.85818339,13.20826959,14.72484111
45.32167377,20.10623452,13.94081293
31.66397618,14.87564451,17.35736916
34.54651636,12.78671368,18.13572793
52.48658544,16.71072069,16.97546622
47.56909889,16.05396733,20.59669421
53.12676541,19.34419574,13.27128373
57.78265815,14.72050626,13.49417775
60.87694574,10.58939973,8.137185625
35.09064999,13.19606614,18.27994714
41.47869621,17.65590691,21.7365782
49.07625517,15.80732686,18.57390813
51.77674777,18.36376848,18.35584241
55.55403047,14.80751973,17.80701143
30.40432724,12.29049079,12.96496939
51.57409208,16.24473086,17.42018398
57.88377552,13.48532275,14.76302931
53.15744768,19.25392396,15.66302786
55.91076937,14.86998057,15.42377993
24.8181564,12.65292783,18.14925416
55.10227173,12.83952286,20.57325115
56.2904683,19.60145389,10.86104214
55.54935457,17.82426136,16.72459086
59.53078212,12.74244601,10.22888041
32.38528622,12.893689,16.39901645
44.15660137,12.38608698,21.6639749
34.91041582,11.10416003,16.09975164
53.32429581,18.76049162,11.77786883
57.38303841,14.89411497,11.18076717
59.84952807,15.56654299,9.611553723
53.76182699,15.50332022,17.59296011
44.03106998,16.54997813,20.43550242
34.1998447,11.34043968,20.6930493
48.31668204,14.75979816,15.09186834
34.58529554,9.720579538,18.08983296
52.12365176,18.09714232,19.42465672
38.57935872,16.71133226,15.83980697
55.79412934,12.81557122,16.36066704
38.33527826,18.46580909,19.85993105
57.10152478,19.80978496,9.72587868
45.99337878,16.22295269,20.77238838
53.38555139,20.28040297,13.08342291
34.54844832,15.82019858,18.23949892
53.18995825,14.95420847,16.17753246
57.68352258,16.44360333,7.015993746
52.43488352,13.29777615,19.72300587
33.70318782,15.82350724,18.94204445
48.55181988,16.84588094,18.45481663
25.59970808,10.46487823,20.97433801
30.31180894,17.92831858,13.00456223
46.34913635,11.50897017,19.93753218
52.59316739,17.33158803,14.21040268
35.85778947,14.30105917,19.98608152
56.1850412,12.57313599,19.21860147
61.84288871,12.58032732,11.88645702
51.72033815,21.39819565,13.05498306
33.65862543,14.10266227,20.05896746
41.31038883,15.54811652,22.62896437
55.92204092,11.70746868,17.09224289
40.09988298,12.89737964,19.07461492
53.59817182,15.04955559,15.59665744
39.55216344,16.94446559,19.05267764
36.30473028,19.01595407,15.80624662
42.43428448,15.79810551,13.31694888
58.42304305,16.24606891,7.525098733
59.54442083,15.29569495,16.05453508
41.18297491,15.10395188,22.44008496
41.73083363,17.06852755,22.06178731
29.54727613,13.59937434,17.56774249
52.36544048,14.986196,14.4077609
30.0901318,13.90875846,18.31923766
51.85709646,18.55363839,19.646001
51.1123879,14.57328707,16.71548648
64.42140815,9.132320372,11.02844155
31.79263144,13.80075674,17.49829696
53.629831,19.71421726,13.42309779
45.09753002,15.98475017,20.11188367
31.12639533,14.57616425,16.60419794
53.51045757,16.07238424,17.25033492
52.50296661,15.01749079,20.45024239
36.59533603,16.95623422,18.63082702
51.46855901,19.9950805,19.72600569
57.21580109,14.38069894,9.763477833
37.31702567,16.62677076,17.15329448
33.33466369,13.14636274,17.09598333
36.8097719,14.65345237,20.07615107
52.02487196,16.57619672,15.72413371
32.43959651,11.89600629,11.36213843
57.87343972,15.26787196,11.32704481
39.21851151,15.6483525,20.97744171
58.06573673,15.66698181,15.08188774
37.27828175,16.41147879,18.32696755
24.76011308,6.352917943,9.347506068
39.94595831,16.55021563,23.79634016
57.58888813,18.41649904,13.30682978
51.19159961,17.80481036,16.91913845
33.8490958,12.63890099,7.664693915
47.44742408,12.21893603,25.55898101
49.03066263,16.07669367,13.1750924
48.62185525,17.5187275,13.21923828
62.85381163,8.578896111,14.96185294
52.77979792,21.00962584,12.2212403
56.40471492,15.50155334,12.67162871
52.24805968,16.10083092,13.67928053
32.91195158,15.27881275,9.571522372
44.28912653,18.86040504,20.8694027
28.64959213,15.21668699,15.10338964
46.2600965,13.90865912,25.16939603
55.42983834,16.13257915,14.18207969
55.22619696,18.46663579,12.19665555
44.62821907,15.6088939,22.41779312
55.8611439,16.12538574,15.96566562
55.76797189,17.35077563,14.70264107
39.84513797,16.56474196,18.22840153
46.50307862,14.78729389,25.52845582
41.84072435,13.17677902,19.08365875
46.44519105,16.78408825,15.45905684
59.24634403,14.49039403,12.15699838
62.44440358,10.83510248,7.023964441
60.26087417,13.22280868,3.833796376
34.68895872,16.5948533,14.0715498
42.03754244,16.78205927,20.67596124
57.52647165,15.75531297,7.929904981
48.28109723,17.30873032,18.67836577
55.77897654,14.5852789,12.90244764
53.89437609,14.73622855,14.84575848
31.1224597,13.03692268,16.54782707
28.47824642,8.398749515,12.71274276
55.27236793,18.73299463,11.10139928
46.8719725,16.10026661,26.07285304
45.84642813,17.12922218,21.1900019
56.0160312,18.53656796,11.59935907
39.5474221,19.67099035,20.35594299
46.19335764,15.32748564,22.79029309
57.41308727,16.38449109,12.42035
59.86223019,10.49154363,15.24476821
46.91180179,15.37996038,17.27921458
33.47907935,15.47735439,12.95012489
31.88555408,15.49055296,19.56295838
52.09868381,19.65664914,16.50361769
55.21662469,19.60330291,15.1311411
33.82725541,17.59017461,20.41445086
33.51280624,12.30053998,16.06264639
39.39285534,13.32084761,19.92876586
49.63386415,17.40144721,24.66512196
59.40995144,13.13748805,17.5207135
37.49879797,14.10538909,19.78119228
55.09325797,16.18841862,16.02559528
61.52603164,9.61200004,13.06470659
39.80407211,13.01972187,24.06975433
35.52763096,17.98166916,14.04483983
52.36687904,16.00845741,20.28838737
46.97211666,15.45938182,19.15109663
60.20026937,10.20053798,16.29435057
53.32329786,17.01203791,15.25430703
35.37624764,12.69516578,18.03919083
44.09448124,15.42414978,18.69262397
56.47167183,14.57368845,9.257062599
26.95957017,10.95870263,13.90559019
46.22518981,13.97816378,22.20209357
55.3421865,23.07808426,11.89964125
52.27621395,16.00441385,16.06877064
57.91332994,15.00459373,15.99700416
39.75272781,11.67347697,17.9466407
60.44306786,12.65414847,17.27575503
41.7177345,14.01927575,22.5351157
36.38223657,14.60330344,20.71163858
32.99776622,15.16679816,14.79888352
41.01639278,16.2099362,19.24148221
37.42124686,16.61537922,22.79624176
56.57359207,14.18106622,18.08843343
58.7359655,17.10854685,10.89858663
60.38666647,14.4172998,12.09420284
51.33386601,21.43624981,13.08732094
54.82917583,20.13532268,9.313922126
47.18320389,19.30780158,16.58515879
41.70118902,18.59892513,19.06168357
39.62187947,18.7283702,17.3723274
39.51511958,16.73756077,20.21088016
53.84555623,15.99957481,15.39329247
48.82042645,14.84242605,18.77465682
48.19521684,19.94567799,17.44800605
36.74802495,16.36780886,13.85171179
60.00468147,10.90133286,17.17190106
53.56320779,11.61617222,18.36534428
58.80698318,15.73919351,12.69981981
51.70561462,18.75505736,10.59488723
36.42974489,13.63467112,15.19280083
57.37691769,11.59648746,13.40582084
54.25311152,17.60763771,14.26997647
34.56975824,14.16616066,21.90160713
47.42956887,15.51603203,20.97506748
55.06176914,20.66896966,12.59857196
26.2585691,10.05556122,13.55113099
52.23679366,17.28111225,16.63446053
50.49205206,20.86769756,18.36948545
63.38269542,11.01312833,12.3877739
42.520018,18.33057537,22.5889815
39.33990322,11.40045625,22.19917713
33.15340572,15.73098731,14.4016375
50.20274108,23.0527652,12.67645895
47.28230295,12.29351763,15.93000825
49.12001461,20.39105665,16.99444579
59.18566943,16.19712477,7.494158583
51.85942889,16.13251355,13.70765821
47.38678782,19.60453758,22.22615027
44.62991476,17.37143071,18.30414311
22.83890544,13.73184681,16.83183748
39.45916102,14.95307469,21.88457125
57.52647165,15.75531297,7.929904981
53.78241824,12.45352532,18.69917515
46.20163789,15.65215277,18.66880847
58.94355864,12.8846443,16.84619785
33.74763845,19.10496327,14.71317835
60.69849956,13.98120735,13.68244072
49.31827045,23.0902993,8.989589799
54.05244364,16.69645968,16.29300101
34.72674792,18.19390222,13.54141597
52.36893724,14.4821081,20.82674934
55.42938665,17.9024783,10.7257591
47.33139781,18.17148376,19.73866258
47.11690771,14.22560113,22.8507494
55.39458591,14.36114929,15.82857111
46.31933085,14.8068853,15.82322448
51.95236188,16.41528795,14.4386442
59.3171986,16.73498956,7.123198568
58.95256575,13.43590746,11.12691847
29.95258998,13.44295001,18.11545513
38.27714002,15.30153349,20.88833312
44.66395086,15.81534064,21.28877267
34.71558659,16.14393638,22.17131725
48.69003033,20.20815676,18.15849014
46.09787843,21.31030907,14.48792826
53.30193915,16.88725633,15.80574634
38.09190911,14.82733433,18.17700348
29.46293743,10.21831009,16.06800531
52.54978556,17.07937349,15.31659635
50.06142666,19.55743054,15.94305241
52.66431789,13.89370603,23.53104909
33.97804594,16.72762173,19.35043393
53.02299655,20.44319334,12.56054691
48.03988242,17.6590623,21.89174079
46.49638361,15.30008695,17.88168527
50.53643663,18.03739353,20.6961753
49.75601276,18.37400377,17.24927005
31.49318844,12.99470108,13.8839251
42.82178389,15.11988235,21.10452766
44.62821907,15.6088939,22.41779312
35.63277564,15.11339656,18.47314485
39.4217298,16.50457937,18.85699323
