Algorithm,FNMR.F.AmIndian,FMR.F.AmIndian,FNMR.F.Asian,FMR.F.Asian,FNMR.F.Black,FMR.F.Black,FNMR.F.White,FMR.F.White,FNMR.M.AmIndian,FMR.M.AmIndian,FNMR.M.Asian,FMR.M.Asian,FNMR.M.Black,FMR.M.Black,FNMR.M.White,FMR.M.White
3divi-003,0.0654,0.000501187233627273,0.0466,1e-04,0.0211,1e-04,0.0384,1e-05,0.0453,1e-04,0.0218,1.99526231496888e-05,0.0129,1.25892541179417e-05,0.0276,1e-05
3divi-004,0.0442,0.000501187233627273,0.0332,5.01187233627273e-05,0.008,6.30957344480193e-05,0.0147,1e-05,0.0283,0.000158489319246111,0.0115,1e-05,0.0051,1e-05,0.0106,1e-05
adera-001,0.1053,2.51188643150958e-05,0.0994,1e-05,0.0614,0.000501187233627273,0.0836,7.94328234724282e-05,0.0859,1e-05,0.0631,1e-05,0.0377,0.000158489319246111,0.0597,3.16227766016838e-05
alchera_000,0.0343,0.000630957344480193,0.0263,3.98107170553497e-05,0.0097,5.01187233627273e-05,0.0174,1e-05,0.0238,7.94328234724282e-05,0.0116,1e-05,0.0057,1e-05,0.0137,1e-05
alchera_001,0.0391,0.000630957344480193,0.0292,3.98107170553497e-05,0.0105,7.94328234724282e-05,0.0191,1e-05,0.026,0.000125892541179417,0.0126,1e-05,0.006,1e-05,0.0143,1e-05
allgovision-000,0.0536,0.000501187233627273,0.0372,6.30957344480193e-05,0.0169,1e-04,0.0244,1e-05,0.0385,0.000125892541179417,0.0231,1e-05,0.0152,1e-05,0.0195,1e-05
alphaface-001,0.0055,0.000501187233627273,0.0069,3.16227766016838e-05,0.0021,3.98107170553497e-05,0.0044,1e-05,0.0061,0.000251188643150958,0.0035,1e-05,0.0015,1e-05,0.0046,1e-05
amplifiedgroup-001,0.4931,5.01187233627273e-05,0.4067,0.000316227766016838,0.4768,1.25892541179417e-05,0.5301,1e-05,0.4526,1e-05,0.3513,6.30957344480193e-05,0.02553,0.000316227766016838,0.4711,1e-05
anke-003,0.0312,0.000501187233627273,0.0203,3.16227766016838e-05,0.007,5.01187233627273e-05,0.014,1e-05,0.0163,0.000199526231496888,0.0072,1e-05,0.0035,1e-05,0.0094,1e-05
anke-004,0.0284,0.000630957344480193,0.0196,2.51188643150958e-05,0.0049,6.30957344480193e-05,0.0106,1e-05,0.0173,1e-04,0.0079,1e-05,0.0029,1e-05,0.0083,1e-05
